Date,Open,High,Low,Close,Adj Close,Volume
2019-07-06,10982.54395,11620.96484,10982.54395,11208.55078,11208.55078,21092024306
2019-07-07,11217.61621,11541.62012,11148.80469,11450.84668,11450.84668,19369044277
2019-07-08,11446.59668,12345.83301,11393.37402,12285.95801,12285.95801,23482551458
2019-07-09,12284.32617,12779.13184,12233.26172,12573.8125,12573.8125,28167921523
2019-07-10,12571.53711,13129.5293,11710.97852,12156.5127,12156.5127,33627574244
2019-07-11,12139.71387,12144.62305,11158.92285,11358.66211,11358.66211,28595327690
2019-07-12,11354.29981,11905.48731,11179.14453,11815.98633,11815.98633,23534692797
2019-07-13,11813.12695,11841.95703,10908.47949,11392.37891,11392.37891,21042616384
2019-07-14,11381.02051,11451.2041,10234.57617,10256.05859,10256.05859,22486000001
2019-07-15,10257.83887,11052.7666,9992.006836,10895.08984,10895.08984,25384047207
2019-07-16,10896.65332,10996.63281,9448.106445,9477.641602,9477.641602,24151199070
2019-07-17,9471.213867,9963.134766,9163.134766,9693.802734,9693.802734,24569921549
2019-07-18,9698.50293,10736.84277,9376.798828,10666.48242,10666.48242,25187024648
2019-07-19,10653.95606,10716.98047,10229.62891,10530.73242,10530.73242,20727426310
2019-07-20,10525.81934,11048.66211,10451.27637,10767.13965,10767.13965,20206615155
2019-07-21,10777.5293,10841.8877,10389.59961,10599.10547,10599.10547,17130580467
2019-07-22,10596.94824,10651.79102,10154.92188,10343.10645,10343.10645,16334414913
2019-07-23,10346.74805,10346.74805,9883.594727,9900.767578,9900.767578,17851916995
2019-07-24,9887.730469,9908.796875,9614.306641,9811.925781,9811.925781,17398734322
2019-07-25,9809.09668,10154.25391,9773.957031,9911.841797,9911.841797,15821952090
2019-07-26,9913.126953,9916.517578,9717.982422,9870.303711,9870.303711,14495714483
2019-07-27,9871.165039,10167.32031,9411.521484,9477.677734,9477.677734,16817809536
2019-07-28,9491.626953,9575.544922,9252.296875,9552.860352,9552.860352,13738687093
2019-07-29,9548.178711,9681.648438,9472.948242,9519.145508,9519.145508,13791445323
2019-07-30,9522.329102,9701.759766,9437.335938,9607.423828,9607.423828,13829811132
2019-07-31,9604.050781,10085.62793,9598.097656,10085.62793,10085.62793,16631520648
2019-08-01,10077.44238,10446.91992,9922.019531,10399.66895,10399.66895,17165337858
2019-08-02,10402.04297,10657.95313,10371.01367,10518.17481,10518.17481,17489094082
2019-08-03,10519.27832,10946.78125,10503.50488,10821.72656,10821.72656,15352685061
2019-08-04,10821.63281,11009.20703,10620.27832,10970.18457,10970.18457,16530894787
2019-08-05,10960.73535,11895.0918,10960.73535,11805.65332,11805.65332,23875988832
2019-08-06,11811.54492,12273.82129,11290.73145,11478.16895,11478.16895,23635107660
2019-08-07,11476.19336,12036.99023,11433.70117,11941.96875,11941.96875,22194988641
2019-08-08,11954.04004,11979.41992,11556.16797,11966.40723,11966.40723,19481591730
2019-08-09,11953.46973,11970.45801,11709.74512,11862.93652,11862.93652,18339989960
2019-08-10,11861.55664,11915.65527,11323.89844,11354.02441,11354.02441,18125355447
2019-08-11,11349.74023,11523.5791,11248.29492,11523.5791,11523.5791,15774371518
2019-08-12,11528.18945,11528.18945,11320.95117,11382.61621,11382.61621,13647198229
2019-08-13,11385.05273,11420.04981,10830.32715,10895.83008,10895.83008,16681503537
2019-08-14,10889.48731,10889.55664,10028.13574,10051.7041,10051.7041,19990838300
2019-08-15,10038.42188,10437.41113,9675.316406,10311.5459,10311.5459,22899115082
2019-08-16,10319.41992,10524.34961,9855.478516,10374.33887,10374.33887,20228207096
2019-08-17,10358.72266,10452.625,10086.69824,10231.74414,10231.74414,13778035685
2019-08-18,10233.00586,10487.07031,10119.09473,10345.81055,10345.81055,12999813869
2019-08-19,10350.2832,10916.05371,10313.2041,10916.05371,10916.05371,16038264603
2019-08-20,10916.34668,10947.04199,10618.96094,10763.23242,10763.23242,15053082175
2019-08-21,10764.57227,10798.72949,9962.72168,10138.04981,10138.04981,19473084768
2019-08-22,10142.52148,10232.99609,9831.462891,10131.05566,10131.05566,17097508856
2019-08-23,10136.30957,10442.44336,10078.19238,10407.96484,10407.96484,15627023886
2019-08-24,10407.64453,10418.02051,9982.296875,10159.96094,10159.96094,15451030650
2019-08-25,10160.73731,10304.62207,10008.78906,10138.51758,10138.51758,14153856610
2019-08-26,10126.29981,10512.32813,10126.29981,10370.82031,10370.82031,18438654080
2019-08-27,10372.82617,10381.32813,10087.30078,10185.5,10185.5,14762609503
2019-08-28,10203.42676,10279.36621,9716.65625,9754.422852,9754.422852,17603790323
2019-08-29,9756.786133,9756.786133,9421.629883,9510.200195,9510.200195,17045878501
2019-08-30,9514.844727,9656.124023,9428.302734,9598.173828,9598.173828,13595263986
2019-08-31,9597.539063,9673.220703,9531.799805,9630.664063,9630.664063,11454806419
2019-09-01,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859
2019-09-02,9757.473633,10396.5918,9730.650391,10346.76074,10346.76074,17248102294
2019-09-03,10345.72559,10736.10449,10308.54785,10623.54004,10623.54004,19384917989
2019-09-04,10621.18066,10762.64453,10434.70996,10594.49316,10594.49316,16742664769
2019-09-05,10588.18359,10627.26953,10516.41797,10575.5332,10575.5332,14551239508
2019-09-06,10578.19824,10898.76172,10292.29981,10353.30273,10353.30273,19536574783
2019-09-07,10353.93164,10558.67383,10348.91895,10517.25488,10517.25488,15307366476
2019-09-08,10518.11426,10595.6377,10409.09082,10441.27637,10441.27637,13670567493
2019-09-09,10443.22852,10450.31152,10144.92969,10334.97461,10334.97461,17595943368
2019-09-10,10336.4082,10394.35352,10020.57324,10115.97559,10115.97559,14906809639
2019-09-11,10123.03516,10215.94824,9980.776367,10178.37207,10178.37207,15428063426
2019-09-12,10176.81934,10442.25391,10099.24219,10410.12695,10410.12695,15323563925
2019-09-13,10415.36231,10441.48926,10226.59668,10360.54688,10360.54688,14109864675
2019-09-14,10345.40332,10422.13379,10291.69434,10358.04883,10358.04883,13468713124
2019-09-15,10356.46582,10387.03516,10313.09277,10347.71289,10347.71289,12043433567
2019-09-16,10347.22266,10386.86719,10189.74414,10276.79395,10276.79395,15160167779
2019-09-17,10281.51367,10296.77148,10199.73926,10241.27246,10241.27246,15304603363
2019-09-18,10247.7959,10275.92871,10191.46973,10198.24805,10198.24805,16169268880
2019-09-19,10200.49609,10295.66895,9851.692383,10266.41504,10266.41504,19937691247
2019-09-20,10266.31836,10285.87207,10132.18652,10181.6416,10181.6416,14734189639
2019-09-21,10183.64844,10188.09766,10000.70801,10019.7168,10019.7168,13425266806
2019-09-22,10024.11523,10074.44434,9922.533203,10070.39258,10070.39258,13199651698
2019-09-23,10067.96289,10074.23828,9727.143555,9729.324219,9729.324219,15144925408
2019-09-24,9729.321289,9804.317383,8370.801758,8620.566406,8620.566406,25002886689
2019-09-25,8603.428711,8744.828125,8325.396484,8486.993164,8486.993164,21744728353
2019-09-26,8487.669922,8515.685547,7895.629395,8118.967773,8118.967773,19258205289
2019-09-27,8113.101074,8271.520508,7965.922852,8251.845703,8251.845703,16408941156
2019-09-28,8251.273438,8285.617188,8125.431641,8245.915039,8245.915039,14141152736
2019-09-29,8246.037109,8261.707031,7990.49707,8104.185547,8104.185547,13034629109
2019-09-30,8104.226563,8314.231445,7830.758789,8293.868164,8293.868164,17115474183
2019-10-01,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413
2019-10-02,8344.212891,8393.041992,8227.695313,8393.041992,8393.041992,13125712443
2019-10-03,8390.774414,8414.227539,8146.437012,8259.992188,8259.992188,13668823409
2019-10-04,8259.494141,8260.055664,8151.236816,8205.939453,8205.939453,13139456229
2019-10-05,8210.149414,8215.526367,8071.120605,8151.500488,8151.500488,12200497197
2019-10-06,8149.876953,8161.410156,7958.850586,7988.155762,7988.155762,13160830305
2019-10-07,7989.120605,8308.450195,7905.766113,8245.623047,8245.623047,18009742607
2019-10-08,8246.849609,8332.714844,8185.763184,8228.783203,8228.783203,15592264032
2019-10-09,8229.84082,8627.706055,8169.298828,8595.740234,8595.740234,19384942333
2019-10-10,8585.280273,8625.272461,8471.933594,8586.473633,8586.473633,17618660671
